PLpara ,    ,    , ,    ,    ,    , ,    ,    ,    , ,ADpara ,    ,    , ,    ,    ,    , ,    ,    ,    , ,DDSpara ,        , ,     ,        , , ,
PL1    ,    ,    , ,PL2 ,    ,    , ,PL3 ,    ,    , ,AD1    ,    ,    , ,AD2 ,    ,    , ,AD3 ,    ,    , ,DDS1    ,        , ,DDS2 ,        , , ,
sc1    ,bc1 ,ec1 , ,sc2 ,bc2 ,ec2 , ,sc3 ,bc3 ,ec3 , ,sc1    ,bc1 ,ec1 , ,sc2 ,bc2 ,ec2 , ,sc3 ,bc3 ,ec3 , ,sc1     ,pattern , ,sc2  ,pattern , , ,
0      ,1   ,1   , ,3   ,1   ,4   , ,5   ,1   ,6   , ,2      ,1   ,3   , ,20  ,1   ,21  , ,20  ,1   ,21  , ,40      ,1       , ,20   ,1       , , ,
2      ,1   ,3   , ,7   ,1   ,8   , ,8   ,1   ,9   , ,4      ,1   ,5   , ,7   ,4   ,11  , ,7   ,4   ,11  , ,0       ,0       , ,80   ,2       , , ,
4      ,1   ,5   , ,    ,    ,    , ,    ,    ,    , ,6      ,1   ,7   , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
6      ,1   ,7   , ,    ,    ,    , ,    ,    ,    , ,8      ,1   ,9   , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
8      ,1   ,9   , ,    ,    ,    , ,    ,    ,    , ,10     ,1   ,11  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
10     ,1   ,11  , ,    ,    ,    , ,    ,    ,    , ,12     ,1   ,13  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
12     ,1   ,13  , ,    ,    ,    , ,    ,    ,    , ,14     ,1   ,15  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
14     ,1   ,15  , ,    ,    ,    , ,    ,    ,    , ,16     ,1   ,17  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
16     ,1   ,17  , ,    ,    ,    , ,    ,    ,    , ,18     ,1   ,19  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
18     ,1   ,19  , ,    ,    ,    , ,    ,    ,    , ,20     ,1   ,21  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
20     ,1   ,21  , ,    ,    ,    , ,    ,    ,    , ,22     ,1   ,23  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
22     ,1   ,23  , ,    ,    ,    , ,    ,    ,    , ,24     ,1   ,25  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
24     ,1   ,25  , ,    ,    ,    , ,    ,    ,    , ,26     ,1   ,27  , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
26     ,1   ,27  , ,    ,    ,    , ,    ,    ,    , ,       ,    ,    , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
28     ,1   ,29  , ,    ,    ,    , ,    ,    ,    , ,       ,    ,    , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
30     ,1   ,31  , ,    ,    ,    , ,    ,    ,    , ,       ,    ,    , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
32     ,1   ,33  , ,    ,    ,    , ,    ,    ,    , ,       ,    ,    , ,    ,    ,    , ,    ,    ,    , ,        ,        , ,     ,        , , ,
